comName,speciesCode
Bufflehead x Common Goldeneye (hybrid),x00655
Bufflehead x goldeneye sp. (hybrid),x00909
Bufflehead x Barrow's Goldeneye (hybrid),x01152
Common x Barrow's Goldeneye (hybrid),cxbgol1
Common Goldeneye x Smew (hybrid),x00378
Wood Duck x Hooded Merganser (hybrid),x00202
Bufflehead x Hooded Merganser (hybrid),x00424
Common Goldeneye x Hooded Merganser (hybrid),x00425
Barrow's Goldeneye x Hooded Merganser (hybrid),x00426
goldeneye sp. x Hooded Merganser (hybrid),x00631
Smew x Hooded Merganser (hybrid),x00379
Common Eider x Common Merganser (hybrid),x00840
Hooded x Common Merganser (hybrid),x00726
Ring-necked Duck x Red-breasted Merganser (hybrid),x00614
Common x Red-breasted Merganser (hybrid),x00780
Ruddy x White-headed Duck (hybrid),x00705
White-throated x Red-throated Piping-Guan (hybrid),x01078
West Mexican x Rufous-bellied Chachalaca (hybrid),x01121
Northern Bobwhite x Scaled Quail (hybrid),x00688
Northern Bobwhite x California Quail (hybrid),x01011
Scaled x California Quail (hybrid),x00687
Scaled x Gambel's Quail (hybrid),x00689
California x Gambel's Quail (hybrid),y00315
Dusky x Sooty Grouse (hybrid),x01224
Greater Sage-Grouse x Sharp-tailed Grouse (hybrid),x00727
Dusky x Sharp-tailed Grouse (hybrid),x00781
Sharp-tailed Grouse x Greater Prairie-Chicken (hybrid),x00728
Greater x Lesser Prairie-Chicken (hybrid),x00668
Western x Black-billed Capercaillie (hybrid),x01169
Western Capercaillie x Black Grouse (hybrid),x00841
Golden x Lady Amherst's Pheasant (hybrid),x01017
Ring-necked x Green Pheasant (hybrid),x01018
Tibetan x White Eared-Pheasant (hybrid),x00943
Edwards's x Silver Pheasant (hybrid),impphe1
Kalij x Silver Pheasant (hybrid),x01181
Indian x Green Peafowl (hybrid),x00380
Red-legged x Rock Partridge (hybrid),x00640
Chukar x Rock Partridge (hybrid),x00381
European Turtle-Dove x Eurasian Collared-Dove (hybrid),x00382
Oriental Turtle-Dove x Eurasian Collared-Dove (hybrid),x01084
Eurasian x African Collared-Dove (hybrid),x00799
Asian x Pacific Emerald Dove (hybrid),x00849
Inca x Common Ground Dove (hybrid),x01225
Common x Ruddy Ground Dove (hybrid),x01164
Ruddy Ground x Scaled Dove (hybrid),x01153
Eurasian Collared-Dove x Mourning Dove (hybrid),x00767
White-winged x Mourning Dove (hybrid),x01086
White-cheeked x Prince Ruspoli's Turaco (hybrid),x00800
White-browed x Burchell's Coucal (hybrid),x01122
Mexican x Common Squirrel-Cuckoo (hybrid),x01173
Little x White-rumped Swift (hybrid),x01060
Amethyst-throated x Purple-throated Sunangel (hybrid),x01046
Long-tailed Sylph x Tyrian Metaltail (hybrid),x00944
Shining x White-tufted Sunbeam (hybrid),x00672
Golden-bellied x Blue-throated Starfrontlet (hybrid),x01047
Buff-tailed x Velvet-purple Coronet (hybrid),x00383
Buff-tailed Coronet x Empress Brilliant (hybrid),x01032
Purple-throated x White-throated Mountain-gem (hybrid),x00945
Peruvian Sheartail x Chilean Woodstar (hybrid),x00736
Rivoli's x Black-chinned Hummingbird (hybrid),x01226
Lucifer x Black-chinned Hummingbird (hybrid),x00946
Ruby-throated x Black-chinned Hummingbird (hybrid),x00850
Rivoli's x Anna's Hummingbird (hybrid),x01227
Lucifer x Anna's Hummingbird (hybrid),x00690
Black-chinned x Anna's Hummingbird (hybrid),x00651
Lucifer x Costa's Hummingbird (hybrid),x00737
Black-chinned x Costa's Hummingbird (hybrid),x00384
Anna's x Costa's Hummingbird (hybrid),x00618
Black-chinned x Calliope Hummingbird (hybrid),x00768
Anna's x Calliope Hummingbird (hybrid),x00619
Ruby-throated x Rufous Hummingbird (hybrid),x01048
Black-chinned x Rufous Hummingbird (hybrid),x00738
Anna's x Rufous Hummingbird (hybrid),x00626
Calliope x Rufous Hummingbird (hybrid),x00852
Black-chinned x Allen's Hummingbird (hybrid),x01154
Anna's x Allen's Hummingbird (hybrid),x00691
Costa's x Allen's Hummingbird (hybrid),x01155
Rufous x Allen's Hummingbird (hybrid),x00385
Lucifer x Broad-tailed Hummingbird (hybrid),x01095
Ruby-throated x Broad-tailed Hummingbird (hybrid),x01049
Black-chinned x Broad-tailed Hummingbird (hybrid),x01091
Anna's x Broad-tailed Hummingbird (hybrid),x01096
Calliope x Broad-tailed Hummingbird (hybrid),x00851
Rufous x Broad-tailed Hummingbird (hybrid),x00386
Anna's Hummingbird x Selasphorus sp. (hybrid),x00739
Black-chinned x Broad-billed Hummingbird (hybrid),x00676
Anna's x Broad-billed Hummingbird (hybrid),x00387
Costa's x Broad-billed Hummingbird (hybrid),x01097
Broad-billed x Turquoise-crowned Hummingbird (hybrid),x00388
Rivoli's x White-eared Hummingbird (hybrid),x01101
Broad-tailed x White-eared Hummingbird (hybrid),x01228
Broad-billed x White-eared Hummingbird (hybrid),x01129
Red-billed x Black-billed Streamertail (hybrid),stream4
Broad-billed x Violet-crowned Hummingbird (hybrid),x00633
Broad-billed x Berylline Hummingbird (hybrid),x01172
Rivoli's x Berylline Hummingbird (hybrid),mxbhum1
Cinnamon x Rufous-tailed Hummingbird (hybrid),x00947
Azure-crowned Hummingbird x Honduran Emerald (hybrid),x00916
Rufous-tailed Hummingbird x Honduran Emerald (hybrid),x01033
Bogota Sunangel (hybrid),bogsun2
King x Clapper Rail (hybrid),x00948
Eurasian Moorhen x Eurasian Coot (hybrid),x00389
Eurasian x Red-knobbed Coot (hybrid),x00911
Common Gallinule x American Coot (hybrid),x00390
Red-gartered x Slate-colored Coot (hybrid),x00845
Black-backed x Gray-headed Swamphen (hybrid),x00844
African x Gray-headed Swamphen (hybrid),x01061
Brolga x Sarus Crane (hybrid),x00949
Sandhill x Whooping Crane (hybrid),x00790
Sandhill x Common Crane (hybrid),x00657
Common x Hooded Crane (hybrid),x00884
Black-winged x Pied Stilt (hybrid),x00830
Pied x Black Stilt (hybrid),x00459
Black-winged x Black-necked Stilt (hybrid),x00846
Black-necked Stilt x American Avocet (hybrid),x00732
South Island x Variable Oystercatcher (hybrid),x00928
American x Black Oystercatcher (hybrid),x00006
Blacksmith x White-crowned Lapwing (hybrid),x00885
Northern x Wattled Jacana (hybrid),x00791
Bar-tailed x Hudsonian Godwit (hybrid),x01025
Black-tailed x Hudsonian Godwit (hybrid),x01026
Great x Common Snipe (hybrid),x00792
Great Knot x Surfbird (hybrid),x00733
Red Knot x Surfbird (hybrid),x00675
Dunlin x Purple Sandpiper (hybrid),x00433
Dunlin x Rock Sandpiper (hybrid),x01213
Buff-breasted x Baird's Sandpiper (hybrid),x01123
Ruddy Turnstone x White-rumped Sandpiper (hybrid),x01062
Red Knot x White-rumped Sandpiper (hybrid),x01229
Buff-breasted x White-rumped Sandpiper (hybrid),x00431
Dunlin x White-rumped Sandpiper (hybrid),x00430
Curlew x Pectoral Sandpiper (hybrid),x00432
White-rumped x Pectoral Sandpiper (hybrid),x01094
White-rumped x Semipalmated Sandpiper (hybrid),x01042
Thick-billed x Common Murre (hybrid),x00793
Slender-billed x Black-headed Gull (hybrid),x00391
Slender-billed x Brown-headed Gull (hybrid),x00734
Gray-hooded x Hartlaub's Gull (hybrid),x00886
Gray-hooded x Laughing Gull (hybrid),x00392
Bonaparte's x Franklin's Gull (hybrid),x00794
Black-headed x Mediterranean Gull (hybrid),x00695
Black-headed x Common Gull (hybrid),x00393
Mediterranean x Common Gull (hybrid),x00847
Black-headed x Ring-billed Gull (hybrid),x00641
Laughing x Ring-billed Gull (hybrid),x00616
Franklin's x Ring-billed Gull (hybrid),x00795
Common x Ring-billed Gull (hybrid),x00394
Short-billed x Ring-billed Gull (hybrid),x01230
Ring-billed x American Herring Gull (hybrid),x00796
Caspian x European Herring Gull (hybrid),x00915
Kelp x American Herring Gull (hybrid),kxhgul1
Caspian x Yellow-legged Gull (hybrid),x00395
European Herring x Yellow-legged Gull (hybrid),x01182
American Herring x Great Black-backed Gull (hybrid),x00047
European Herring x Great Black-backed Gull (hybrid),x01130
Yellow-legged x Great Black-backed Gull (hybrid),x00397
American Herring x Glaucous Gull (hybrid),x01131
Vega x Glaucous Gull (hybrid),x01132
European Herring x Glaucous Gull (hybrid),x01133
American Herring/Vega/European Herring x Glaucous Gull (hybrid),nelgul
Great Black-backed x Glaucous Gull (hybrid),x00632
Common x Lesser Black-backed Gull (hybrid),x01231
Ring-billed x Lesser Black-backed Gull (hybrid),x01008
American Herring x Lesser Black-backed Gull (hybrid),x01134
European Herring x Lesser Black-backed Gull (hybrid),x00057
Yellow-legged x Lesser Black-backed Gull (hybrid),x00396
Ring-billed x California Gull (hybrid),x01183
American Herring x California Gull (hybrid),x00797
Western x Glaucous-winged Gull (hybrid),x00051
American Herring x Glaucous-winged Gull (hybrid),x00050
Glaucous x Glaucous-winged Gull (hybrid),x00048
Vega x Slaty-backed Gull (hybrid),x00434
Glaucous-winged x Slaty-backed Gull (hybrid),x00436
Glaucous x Slaty-backed Gull (hybrid),x00437
American Herring x Iceland Gull (hybrid),x00617
Lesser Black-backed x Iceland Gull (hybrid),x01232
Blue-billed x Little White-Tern (hybrid),x01184
Little x Australian Fairy Tern (hybrid),x00798
Forster's x Arctic Tern (hybrid),x01165
Common x Arctic Tern (hybrid),x00910
Common x Roseate Tern (hybrid),x00735
Sandwich x Elegant Tern (hybrid),x00438
Sandwich x Lesser Crested Tern (hybrid),x01233
Lesser x Great Crested Tern (hybrid),x01040
Great x Chinese Crested Tern (hybrid),x00848
Chilean x American Flamingo (hybrid),x01038
Chilean x Greater Flamingo (hybrid),x01039
American x Greater Flamingo (hybrid),x01185
Western x Clark's Grebe (hybrid),x00427
Common x Yellow-billed Loon (hybrid),x01146
Humboldt x Magellanic Penguin (hybrid),x01082
Macaroni x Western Rockhopper Penguin (hybrid),x00921
Laysan x Black-footed Albatross (hybrid),x00017
Gray-headed x Black-browed Albatross (hybrid),x01063
Black x White Stork (hybrid),x01098
Milky x Painted Stork (hybrid),x00729
Cape x Australasian Gannet (hybrid),x01234
Brown x Masked Booby (hybrid),x00782
Masked x Nazca Booby (hybrid),x01064
Cocos x Blue-footed Booby (hybrid),x00950
Blue-footed x Peruvian Booby (hybrid),x01065
Double-crested x Neotropic Cormorant (hybrid),x00783
Guanay x Imperial Cormorant (hybrid),x01186
White x Scarlet Ibis (hybrid),x00428
Glossy x White-faced Ibis (hybrid),gxwibi1
Australian x Straw-necked Ibis (hybrid),x01157
Eurasian x Black-faced Spoonbill (hybrid),x00883
Yellow-crowned x Black-crowned Night Heron (hybrid),x00704
Black-crowned x Nankeen Night Heron (hybrid),x01041
Little Blue x Tricolored Heron (hybrid),x00696
Tricolored Heron x Reddish Egret (hybrid),x00785
Little Blue Heron x Snowy Egret (hybrid),x00615
Tricolored Heron x Snowy Egret (hybrid),x00730
Snowy x Little Egret (hybrid),x00697
Little Egret x Western Reef-Heron (hybrid),x00656
Striated x Lava Heron (hybrid),x01187
Striated x Green Heron (hybrid),x00765
Indian x Chinese Pond-Heron (hybrid),x01124
Chinese x Javan Pond-Heron (hybrid),x01125
Little Egret x Western Cattle-Egret (hybrid),x01188
Little Egret x Gray Heron (hybrid),x01189
